Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05010;St Romain de Colbosc;Périurbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.8;1.8;µg-m3;100.0;100;100.0;A;1;49.528927;0.358733
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05037;Caucriauville;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;11.7;11.7;µg-m3;100.0;100;100.0;A;1;49.503906;0.175731
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05040;Honfleur Sce Tech.;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.8;0.775;µg-m3;100.0;100;100.0;A;1;49.415108;0.2437
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05056;Quillebeuf Phare;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.65;µg-m3;100.0;100;100.0;A;1;49.47372;0.526158
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05069;Tancarville Mairie;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.675;µg-m3;100.0;100;100.0;A;1;49.487682;0.451756
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05070;Harfleur Ecole Coty;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.7;0.7;µg-m3;100.0;100;100.0;A;1;49.505;0.201694
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05072;Sainte Adresse;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.65;µg-m3;100.0;100;100.0;A;1;49.50386;0.084614
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05074;Le Havre Ec. Herriot;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.1;0.075;µg-m3;100.0;100;100.0;A;1;49.48963;0.100703
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05078;Le Havre Massillon;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.1;1.1;µg-m3;100.0;100;100.0;A;1;49.4983;0.142706
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05080;Rogerville Mairie;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;5.0;4.95;µg-m3;100.0;100;100.0;A;1;49.50362;0.266872
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05081;La Cerlangue;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.2;1.225;µg-m3;100.0;100;100.0;A;1;49.504036;0.411594
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05083;Gonfreville l Orcher;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;0.5;0.5;µg-m3;100.0;100;100.0;A;1;49.50273;0.232486
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05084;NDGravenchon Pasteur;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;92.9;92.925;µg-m3;100.0;100;100.0;A;1;49.493332;0.571853
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05085;Lillebonne;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.3;1.275;µg-m3;100.0;100;100.0;A;1;49.512146;0.539036
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05087;Maison Parc Brotonne;Rurale régionale;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.9;0.925;µg-m3;100.0;100;100.0;A;1;49.498295;0.758833
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05090;Le Havre ville-haute;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.1;0.05;µg-m3;100.0;100;100.0;A;1;49.514686;0.100645
2023/12/25 00:00:00;2023/12/25 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25036;Espace du Palais;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.5;0.475;µg-m3;100.0;100;100.0;A;1;49.442358;1.093789
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05010;St Romain de Colbosc;Périurbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.9;1.9;µg-m3;100.0;100;100.0;A;1;49.528927;0.358733
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05037;Caucriauville;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;12.5;12.475;µg-m3;100.0;100;100.0;A;1;49.503906;0.175731
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05040;Honfleur Sce Tech.;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.9;0.85;µg-m3;100.0;100;100.0;A;1;49.415108;0.2437
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05056;Quillebeuf Phare;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.7;2.65;µg-m3;100.0;100;100.0;A;1;49.47372;0.526158
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05069;Tancarville Mairie;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.0;1.975;µg-m3;100.0;100;100.0;A;1;49.487682;0.451756
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05070;Harfleur Ecole Coty;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;2.8;2.825;µg-m3;100.0;100;100.0;A;1;49.505;0.201694
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05072;Sainte Adresse;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.5;1.525;µg-m3;100.0;100;100.0;A;1;49.50386;0.084614
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05074;Le Havre Ec. Herriot;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.2;0.2;µg-m3;100.0;100;100.0;A;1;49.48963;0.100703
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05078;Le Havre Massillon;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.8;1.75;µg-m3;100.0;100;100.0;A;1;49.4983;0.142706
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05080;Rogerville Mairie;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;4.9;4.925;µg-m3;100.0;100;100.0;A;1;49.50362;0.266872
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05081;La Cerlangue;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.2;1.2;µg-m3;100.0;100;100.0;A;1;49.504036;0.411594
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05083;Gonfreville l Orcher;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;8.9;8.85;µg-m3;100.0;100;100.0;A;1;49.50273;0.232486
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05084;NDGravenchon Pasteur;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;40.3;40.325;µg-m3;100.0;100;100.0;A;1;49.493332;0.571853
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05085;Lillebonne;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;3.5;3.525;µg-m3;100.0;100;100.0;A;1;49.512146;0.539036
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05087;Maison Parc Brotonne;Rurale régionale;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;8.6;8.55;µg-m3;100.0;100;100.0;A;1;49.498295;0.758833
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05090;Le Havre ville-haute;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;-0.1;-0.125;µg-m3;100.0;100;100.0;A;1;49.514686;0.100645
2023/12/26 00:00:00;2023/12/26 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25036;Espace du Palais;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.3;1.3;µg-m3;100.0;100;100.0;A;1;49.442358;1.093789
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05010;St Romain de Colbosc;Périurbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.8;1.8;µg-m3;100.0;100;100.0;R;1;49.528927;0.358733
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05037;Caucriauville;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;2.7;2.725;µg-m3;100.0;100;100.0;R;1;49.503906;0.175731
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05040;Honfleur Sce Tech.;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.9;0.875;µg-m3;100.0;100;100.0;R;1;49.415108;0.2437
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05056;Quillebeuf Phare;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.4;1.4;µg-m3;100.0;100;100.0;R;1;49.47372;0.526158
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05069;Tancarville Mairie;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.7;µg-m3;100.0;100;100.0;R;1;49.487682;0.451756
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05070;Harfleur Ecole Coty;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.7;µg-m3;100.0;100;100.0;R;1;49.505;0.201694
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05072;Sainte Adresse;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.65;µg-m3;100.0;100;100.0;R;1;49.50386;0.084614
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05074;Le Havre Ec. Herriot;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.2;0.225;µg-m3;100.0;100;100.0;R;1;49.48963;0.100703
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05078;Le Havre Massillon;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.0;1.025;µg-m3;100.0;100;100.0;R;1;49.4983;0.142706
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05080;Rogerville Mairie;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;6.2;6.175;µg-m3;100.0;100;100.0;R;1;49.50362;0.266872
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05081;La Cerlangue;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.2;1.15;µg-m3;100.0;100;100.0;R;1;49.504036;0.411594
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05083;Gonfreville l Orcher;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;12.4;12.375;µg-m3;88.0;100;88.0;R;1;49.50273;0.232486
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05084;NDGravenchon Pasteur;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;78.2;78.225;µg-m3;100.0;100;100.0;R;1;49.493332;0.571853
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05085;Lillebonne;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;36.0;36.0;µg-m3;100.0;100;100.0;R;1;49.512146;0.539036
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05087;Maison Parc Brotonne;Rurale régionale;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.0;1.0;µg-m3;100.0;100;100.0;R;1;49.498295;0.758833
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05090;Le Havre ville-haute;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;-0.2;-0.16667;µg-m3;100.0;100;100.0;R;1;49.514686;0.100645
2023/12/27 00:00:00;2023/12/27 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25036;Espace du Palais;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.7;0.65;µg-m3;100.0;100;100.0;R;1;49.442358;1.093789
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05010;St Romain de Colbosc;Périurbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;2.4;2.375;µg-m3;100.0;100;100.0;A;1;49.528927;0.358733
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05037;Caucriauville;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;3.2;3.15;µg-m3;100.0;100;100.0;A;1;49.503906;0.175731
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05040;Honfleur Sce Tech.;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.8;0.825;µg-m3;100.0;100;100.0;A;1;49.415108;0.2437
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05056;Quillebeuf Phare;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.9;2.925;µg-m3;100.0;100;100.0;A;1;49.47372;0.526158
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05069;Tancarville Mairie;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.0;2.0;µg-m3;100.0;100;100.0;A;1;49.487682;0.451756
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05070;Harfleur Ecole Coty;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.5;1.45;µg-m3;100.0;100;100.0;A;1;49.505;0.201694
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05072;Sainte Adresse;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;2.3;2.3;µg-m3;100.0;100;100.0;A;1;49.50386;0.084614
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05074;Le Havre Ec. Herriot;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.2;0.2;µg-m3;100.0;100;100.0;A;1;49.48963;0.100703
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05078;Le Havre Massillon;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.0;1.025;µg-m3;100.0;100;100.0;A;1;49.4983;0.142706
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05080;Rogerville Mairie;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;7.7;7.7;µg-m3;100.0;100;100.0;A;1;49.50362;0.266872
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05081;La Cerlangue;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.2;1.2;µg-m3;100.0;100;100.0;A;1;49.504036;0.411594
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05083;Gonfreville l Orcher;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;5.1;5.05;µg-m3;96.0;100;96.0;A;1;49.50273;0.232486
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05084;NDGravenchon Pasteur;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;151.1;151.125;µg-m3;100.0;100;100.0;A;1;49.493332;0.571853
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05085;Lillebonne;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.1;2.1;µg-m3;100.0;100;100.0;A;1;49.512146;0.539036
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05087;Maison Parc Brotonne;Rurale régionale;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.9;0.875;µg-m3;100.0;100;100.0;A;1;49.498295;0.758833
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05090;Le Havre ville-haute;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.0;0.025;µg-m3;100.0;100;100.0;A;1;49.514686;0.100645
2023/12/28 00:00:00;2023/12/28 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25036;Espace du Palais;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.8;0.75;µg-m3;100.0;100;100.0;A;1;49.442358;1.093789
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05010;St Romain de Colbosc;Périurbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;2.3;2.3;µg-m3;100.0;100;100.0;A;1;49.528927;0.358733
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05037;Caucriauville;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;11.3;11.3;µg-m3;100.0;100;100.0;A;1;49.503906;0.175731
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05040;Honfleur Sce Tech.;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.8;0.8;µg-m3;100.0;100;100.0;A;1;49.415108;0.2437
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05056;Quillebeuf Phare;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.8;1.775;µg-m3;100.0;100;100.0;A;1;49.47372;0.526158
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05069;Tancarville Mairie;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.3;2.275;µg-m3;100.0;100;100.0;A;1;49.487682;0.451756
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05070;Harfleur Ecole Coty;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.5;1.525;µg-m3;100.0;100;100.0;A;1;49.505;0.201694
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05072;Sainte Adresse;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.5;1.45;µg-m3;100.0;100;100.0;A;1;49.50386;0.084614
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05074;Le Havre Ec. Herriot;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.2;0.175;µg-m3;100.0;100;100.0;A;1;49.48963;0.100703
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05078;Le Havre Massillon;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;1.2;1.175;µg-m3;100.0;100;100.0;A;1;49.4983;0.142706
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05080;Rogerville Mairie;Périurbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;9.5;9.525;µg-m3;100.0;100;100.0;A;1;49.50362;0.266872
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05081;La Cerlangue;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.4;1.35;µg-m3;100.0;100;100.0;A;1;49.504036;0.411594
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05083;Gonfreville l Orcher;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.3;2.3;µg-m3;92.0;100;92.0;R;1;49.50273;0.232486
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05084;NDGravenchon Pasteur;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;166.4;166.35;µg-m3;100.0;100;100.0;A;1;49.493332;0.571853
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05085;Lillebonne;Urbaine;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.1;2.05;µg-m3;100.0;100;100.0;A;1;49.512146;0.539036
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05087;Maison Parc Brotonne;Rurale régionale;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;11.5;11.5;µg-m3;100.0;100;100.0;A;1;49.498295;0.758833
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05090;Le Havre ville-haute;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.1;0.1;µg-m3;100.0;100;100.0;A;1;49.514686;0.100645
2023/12/29 00:00:00;2023/12/29 23:59:59;ATMO NORMANDIE;FR28ZAG01;ZAG ROUEN;FR25036;Espace du Palais;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.5;0.525;µg-m3;100.0;100;100.0;A;1;49.442358;1.093789
2023/12/30 00:00:00;2023/12/30 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05010;St Romain de Colbosc;Périurbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;2.2;2.2;µg-m3;100.0;100;100.0;R;1;49.528927;0.358733
2023/12/30 00:00:00;2023/12/30 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05037;Caucriauville;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;10.3;10.25;µg-m3;100.0;100;100.0;R;1;49.503906;0.175731
2023/12/30 00:00:00;2023/12/30 23:59:59;ATMO NORMANDIE;FR28ZRE02;ZR NORMANDIE;FR05040;Honfleur Sce Tech.;Urbaine;SO2;Fond;Oui;mesures fixes;Max. journalier moy. hor.;0.9;0.86667;µg-m3;100.0;100;100.0;R;1;49.415108;0.2437
2023/12/30 00:00:00;2023/12/30 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05056;Quillebeuf Phare;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;1.7;1.65;µg-m3;100.0;100;100.0;R;1;49.47372;0.526158
2023/12/30 00:00:00;2023/12/30 23:59:59;ATMO NORMANDIE;FR28ZAR01;ZAR LE-HAVRE;FR05069;Tancarville Mairie;Rurale près des villes;SO2;Industrielle;Oui;mesures fixes;Max. journalier moy. hor.;2.0;1.95;µg-m3;100.0;100;100.0;R;1;49.487682;0.451756
